Group,Task,Run,Item,Desc,Passed
B,4,2,4-5,>5% 승인 대기,True
B,4,2,4-6,승인 전 미반영,True
B,4,2,4-7,system_qty=0 승인 필요,True
B,4,2,4-8,승인 후 반영,True
B,4,2,4-9,거부 시 무변동,True
B,4,2,4-10,location.current_qty 갱신,True
B,4,2,4-11,DELETE 불가,True
B,4,2,4-12,핵심 필드 UPDATE 불가,False
B,4,2,4-13,GENERAL 임계치 ±5%,True
B,4,2,4-14,FRESH 임계치 ±3%,True
B,4,2,4-15,HAZMAT 임계치 ±1%,True
B,4,2,4-16,HIGH_VALUE 자동승인 없음,True
B,4,2,4-17,연속 조정 감시 조회,True
B,4,2,4-18,연속 조정 → 승인 격상,True
B,4,2,4-19,연속 조정 태그 추가,True
B,4,2,4-20,HIGH_VALUE audit_logs 기록,True
B,4,2,4-21,HIGH_VALUE 재실사 권고,True
B,4,2,4-22,실사 시작 → is_frozen 설정,True
B,4,2,4-23,실사 완료 → is_frozen 해제,True
B,4,2,4-24,안전재고 체크,True
B,4,2,4-25,안전재고 트리거 기록,True
B,4,3,4-1,reason 필수,True
B,4,3,4-2,차이 비율 계산,True
B,4,3,4-3,자동 승인 로직,True
B,4,3,4-4,자동 승인 즉시 반영,True
B,4,3,4-5,>5% 승인 대기,True
B,4,3,4-6,승인 전 미반영,True
B,4,3,4-7,system_qty=0 승인 필요,True
B,4,3,4-8,승인 후 반영,True
B,4,3,4-9,거부 시 무변동,True
B,4,3,4-10,location.current_qty 갱신,True
B,4,3,4-11,DELETE 불가,True
B,4,3,4-12,핵심 필드 UPDATE 불가,False
B,4,3,4-13,GENERAL 임계치 ±5%,True
B,4,3,4-14,FRESH 임계치 ±3%,True
B,4,3,4-15,HAZMAT 임계치 ±1%,True
B,4,3,4-16,HIGH_VALUE 자동승인 없음,True
B,4,3,4-17,연속 조정 감시 조회,True
B,4,3,4-18,연속 조정 → 승인 격상,True
B,4,3,4-19,연속 조정 태그 추가,True
B,4,3,4-20,HIGH_VALUE audit_logs 기록,True
B,4,3,4-21,HIGH_VALUE 재실사 권고,False
B,4,3,4-22,실사 시작 → is_frozen 설정,True
B,4,3,4-23,실사 완료 → is_frozen 해제,True
B,4,3,4-24,안전재고 체크,True
B,4,3,4-25,안전재고 트리거 기록,True
B,4,4,4-1,reason 필수,True
B,4,4,4-2,차이 비율 계산,True
B,4,4,4-3,자동 승인 로직,True
B,4,4,4-4,자동 승인 즉시 반영,True
B,4,4,4-5,>5% 승인 대기,True
B,4,4,4-6,승인 전 미반영,True
B,4,4,4-7,system_qty=0 승인 필요,True
B,4,4,4-8,승인 후 반영,True
B,4,4,4-9,거부 시 무변동,True
B,4,4,4-10,location.current_qty 갱신,True
B,4,4,4-11,DELETE 불가,True
B,4,4,4-12,핵심 필드 UPDATE 불가,False
B,4,4,4-13,GENERAL 임계치 ±5%,True
B,4,4,4-14,FRESH 임계치 ±3%,True
B,4,4,4-15,HAZMAT 임계치 ±1%,True
B,4,4,4-16,HIGH_VALUE 자동승인 없음,True
B,4,4,4-17,연속 조정 감시 조회,True
B,4,4,4-18,연속 조정 → 승인 격상,True
B,4,4,4-19,연속 조정 태그 추가,True
B,4,4,4-20,HIGH_VALUE audit_logs 기록,True
B,4,4,4-21,HIGH_VALUE 재실사 권고,False
B,4,4,4-22,실사 시작 → is_frozen 설정,True
B,4,4,4-23,실사 완료 → is_frozen 해제,True
B,4,4,4-24,안전재고 체크,True
B,4,4,4-25,안전재고 트리거 기록,True
B,4,5,4-1,reason 필수,True
B,4,5,4-2,차이 비율 계산,True
B,4,5,4-3,자동 승인 로직,True
B,4,5,4-4,자동 승인 즉시 반영,True
B,4,5,4-5,>5% 승인 대기,True
B,4,5,4-6,승인 전 미반영,True
B,4,5,4-7,system_qty=0 승인 필요,True
B,4,5,4-8,승인 후 반영,True
B,4,5,4-9,거부 시 무변동,True
B,4,5,4-10,location.current_qty 갱신,True
B,4,5,4-11,DELETE 불가,True
B,4,5,4-12,핵심 필드 UPDATE 불가,True
B,4,5,4-13,GENERAL 임계치 ±5%,True
B,4,5,4-14,FRESH 임계치 ±3%,True
B,4,5,4-15,HAZMAT 임계치 ±1%,True
B,4,5,4-16,HIGH_VALUE 자동승인 없음,True
B,4,5,4-17,연속 조정 감시 조회,True
B,4,5,4-18,연속 조정 → 승인 격상,True
B,4,5,4-19,연속 조정 태그 추가,True
B,4,5,4-20,HIGH_VALUE audit_logs 기록,True
